Species,X,Y,Response
Crotalus triseriatus,-99.935726,19.223521,1
Crotalus triseriatus,-99.202598,19.119477,1
Crotalus triseriatus,-99.740496,19.4498,1
Crotalus triseriatus,-99.971021,19.235658,1
Crotalus triseriatus,-99.400675,19.323235,1
Crotalus triseriatus,-99.083533,19.130518,1
Crotalus triseriatus,-99.076595,19.09901,1
Crotalus triseriatus,-99.674446,19.289444,1
Crotalus triseriatus,-99.203,19.0738,1
Crotalus triseriatus,-98.694862,19.057139,1
Crotalus triseriatus,-98.61296,19.102221,1
Crotalus triseriatus,-98.049113,19.239251,1
Crotalus triseriatus,-99.408118,19.354002,1
Crotalus triseriatus,-99.301708,19.307782,1
Crotalus triseriatus,-98.646219,19.138134,1
Crotalus triseriatus,-99.225619,19.129362,1
Crotalus triseriatus,-99.754769,19.108565,1
Crotalus triseriatus,-97.670524,19.59757,1
Crotalus triseriatus,-99.915864,19.22012,1
Crotalus triseriatus,-99.697504,19.312631,1
Crotalus triseriatus,-97.336803,19.735487,1
Crotalus triseriatus,-99.400257,19.319727,1
Crotalus triseriatus,-97.259163,19.046846,1
Crotalus triseriatus,-98.646083,19.086471,1
Crotalus triseriatus,-99.944677,19.20958,1
Crotalus triseriatus,-99.07483,19.10962,1
Crotalus triseriatus,-98.667312,19.293869,1
Crotalus triseriatus,-99.283319,19.217762,1
Crotalus triseriatus,-99.147776,19.120138,1
Crotalus triseriatus,-99.177403,19.143101,1
Crotalus triseriatus,-99.074452,19.110477,1
Crotalus triseriatus,-97.302153,18.994933,1
Crotalus triseriatus,-99.320166,19.05012,1
Crotalus triseriatus,-98.645885,19.088204,1
Crotalus triseriatus,-100.013633,19.252807,1
Crotalus triseriatus,-99.404217,19.320207,1
Crotalus triseriatus,-98.628084,19.094771,1
Crotalus triseriatus,-99.751895,19.112904,1
Crotalus triseriatus,-99.291912,19.262563,1
Crotalus triseriatus,-99.317647,19.055036,1
Crotalus triseriatus,-99.314343,19.056089,1
Crotalus triseriatus,-99.316578,19.047469,1
